Year,inactive,MF,MR,not.tagged,Seedling,SF,SR,Recruitment,Total,Prop.inactive,Prop.MF,Prop.MR,Prop.Seedling,Prop.SF,Prop.SR,Prop.Rec,Plot,Site
1999,0,0,2,0,1,0,72,36,75,0,0,2.666666666666667,1.3333333333333335,0,96,48,UNK,Niobrara
2000,0,0,2,0,0,1,38,9,41,0,0,4.878048780487805,0,2.4390243902439024,92.6829268292683,21.951219512195124,UNK,Niobrara
2001,9,0,0,0,9,0,16,15,34,26.47058823529412,0,0,26.47058823529412,0,47.05882352941176,44.11764705882353,UNK,Niobrara
2002,0,0,2,0,0,0,34,14,36,0,0,5.555555555555555,0,0,94.44444444444444,38.88888888888889,UNK,Niobrara
2003,4,0,4,0,1,1,17,6,27,14.814814814814813,0,14.814814814814813,3.7037037037037033,3.7037037037037033,62.96296296296296,22.22222222222222,UNK,Niobrara
2004,0,0,0,0,1,0,17,8,18,0,0,0,5.555555555555555,0,94.44444444444444,44.44444444444444,UNK,Niobrara
2005,1,0,0,0,0,0,20,12,21,4.761904761904762,0,0,0,0,95.23809523809523,57.14285714285714,UNK,Niobrara
2006,0,0,1,0,0,0,32,13,33,0,0,3.0303030303030303,0,0,96.96969696969697,39.39393939393939,UNK,Niobrara
2007,0,0,2,0,4,1,26,14,33,0,0,6.0606060606060606,12.121212121212121,3.0303030303030303,78.78787878787878,42.42424242424242,UNK,Niobrara
2008,0,0,2,11,2,0,19,9,23,0,0,8.695652173913043,8.695652173913043,0,82.6086956521739,39.130434782608695,UNK,Niobrara
2009,0,0,2,17,0,1,15,4,18,0,0,11.11111111111111,0,5.555555555555555,83.33333333333334,22.22222222222222,UNK,Niobrara
1990,0,1,4,0,2,2,37,NA,46,0,2.1739130434782608,8.695652173913043,4.3478260869565215,4.3478260869565215,80.43478260869566,NA,UNL,Niobrara
1991,0,0,2,0,13,7,50,38,72,0,0,2.7777777777777777,18.055555555555554,9.722222222222223,69.44444444444444,52.77777777777778,UNL,Niobrara
1992,3,0,4,0,0,3,45,21,55,5.454545454545454,0,7.2727272727272725,0,5.454545454545454,81.81818181818183,38.18181818181819,UNL,Niobrara
1993,2,1,4,0,7,5,53,32,72,2.7777777777777777,1.3888888888888888,5.555555555555555,9.722222222222223,6.944444444444445,73.61111111111111,44.44444444444444,UNL,Niobrara
1994,4,0,1,0,10,6,67,38,88,4.545454545454546,0,1.1363636363636365,11.363636363636363,6.8181818181818175,76.13636363636364,43.18181818181818,UNL,Niobrara
1995,4,1,5,0,11,4,56,38,81,4.938271604938271,1.2345679012345678,6.172839506172839,13.580246913580247,4.938271604938271,69.1358024691358,46.913580246913575,UNL,Niobrara
1996,1,0,1,0,12,1,56,30,71,1.4084507042253522,0,1.4084507042253522,16.901408450704224,1.4084507042253522,78.87323943661971,42.25352112676056,UNL,Niobrara
1997,4,0,2,0,2,0,48,16,56,7.142857142857142,0,3.571428571428571,3.571428571428571,0,85.71428571428571,28.57142857142857,UNL,Niobrara
1998,3,0,0,0,0,4,29,6,36,8.333333333333332,0,0,0,11.11111111111111,80.55555555555556,16.666666666666664,UNL,Niobrara
1999,1,0,0,0,6,0,27,17,34,2.941176470588235,0,0,17.647058823529413,0,79.41176470588235,50,UNL,Niobrara
