Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1952,7,26.72,23,145.8652071468455,-1.362598916742115,0.3372411892516923,Arapaho,-119.14520714684551,-1.3463702842423313,0.3664004428274123,-10.147750000000002,14.389583
1952,8,38.89,22.7,133.47013343285755,-0.5993690262220263,0.07015699591985515,Arapaho,-94.58013343285755,-0.49896078597610044,0.047735102188933044,2.0222499999999997,14.089583
1952,9,26.31,18,88.4868023602756,-0.7550184198133634,-0.8892331655555243,Arapaho,-62.1768023602756,-0.6380038183199689,-0.9682057943627672,-10.557750000000002,9.389583
1952,10,9.32,9.1,36.645551137722755,-0.7369130286942757,-1.3361424690428907,Arapaho,-27.325551137722755,-0.48196710733085035,-1.308715492065784,-27.54775,0.48958299999999966
1952,11,27.23,-0.4,0,1.42475116162686,-0.9818028738854371,Arapaho,27.23,1.3695007436054352,-0.9894895306410977,-9.63775,-9.010417
1952,12,5.19,-4.1,0,-0.29673310366177535,-1.145229621810692,Arapaho,5.19,-0.5356802302831785,-1.109345995357184,-31.67775,-12.710417
1953,1,7.71,0.9,2.133495953734839,-0.3319304110429929,-1.160271539190553,Arapaho,5.5765040462651605,-0.3120473535883005,-1.2235145352563213,-29.15775,-7.710417
1953,2,29.72,-1.9,0,1.800172846050034,-1.0636313125821595,Arapaho,29.72,1.6504086939200517,-1.124013517304432,-7.147750000000002,-10.510417
1953,3,14.11,4.5,17.31849993558159,-1.1057261298965382,-1.4116555253766034,Arapaho,-3.208499935581589,-1.1076334531617966,-1.4548544252692985,-22.75775,-4.110417
1953,4,78.29,5.3,22.822672997851058,1.5563826467222137,-0.7139572108332688,Arapaho,55.46732700214895,1.724078608673174,-0.7127460588349711,41.422250000000005,-3.310417
1953,5,28.28,12.4,69.16730899086963,-1.1744715905634373,-1.5444939875891883,Arapaho,-40.88730899086963,-1.281295122846148,-1.5130664787512889,-8.58775,3.7895830000000004
1953,6,72.42,20.9,128.45344923669833,-0.34272208068401916,-1.1021717323763711,Arapaho,-56.03344923669833,-0.27859638210347937,-1.1476525101352637,35.55225,12.289582999999999
1953,7,85.76,23,145.8652071468455,0.4285800248661554,-0.478900277742121,Arapaho,-60.1052071468455,0.45286204708990596,-0.5244220824235885,48.892250000000004,14.389583
1953,8,51.89,21.6,125.99351478532655,0.23756418171798574,-0.21542907151532104,Arapaho,-74.10351478532655,0.4193292787752419,-0.28120967354447207,15.02225,12.989583000000001
1953,9,1.39,17.8,87.34676807100539,-1.7869570544595772,-0.43276580558875044,Arapaho,-85.95676807100538,-1.855826221245251,-0.4639966516428748,-35.47775,9.189583
1953,10,33.9,11.9,50.03039505154325,-0.08258884406595919,-0.2633887877103744,Arapaho,-16.130395051543253,0.3120548458976022,-0.2598487914187652,-2.9677500000000023,3.2895830000000004
1953,11,25.1,3.8,11.386405713147402,0.6556465740833594,-0.44933846298537217,Arapaho,13.713594286852599,0.654268637437269,-0.4731074383554867,-11.76775,-4.810417
1953,12,8.7,-1.9,0,0.3435594910344187,-0.4225537321146443,Arapaho,8.7,0.17818334737939606,-0.4396568036829845,-28.16775,-10.510417
1954,1,0,-2.8,0,-1.5178857176668594,-0.48866815065275643,Arapaho,0,-1.515646249344356,-0.5487452443890493,-36.86775,-11.410416999999999
1954,2,0,4.9,15.366889326023395,-Inf,-1.0259250845251944,Arapaho,-15.366889326023395,-3.9659769243128316,-1.085420009270161,-36.86775,-3.7104169999999996
1954,3,33.94,-0.9,0,1.1299695471543738,-0.5823388056302736,Arapaho,33.94,1.0275868032070543,-0.6079324859462459,-2.927750000000003,-9.510417
1954,4,20.08,10.3,49.3471050142206,-1.4899731329689685,-1.5852225661020942,Arapaho,-29.267105014220604,-1.4132357906365083,-1.5236865491817477,-16.787750000000003,1.6895830000000007
1954,5,64.34,12.3,68.52036304124192,-0.12692834769475753,-1.2170031874876703,Arapaho,-4.180363041241918,-0.2709804221649941,-1.2200115567071592,27.472250000000003,3.6895830000000007
1954,6,76.51,19.5,118.52203897480805,0.07535054830321498,-1.000379354147596,Arapaho,-42.01203897480805,0.15357898447944512,-1.0588647409434553,39.642250000000004,10.889583
1954,7,35.42,25.1,161.43232670883722,-1.5549260475504407,-1.6248824816669838,Arapaho,-126.01232670883722,-1.5410373300003297,-1.5621701520894233,-1.4477499999999992,16.489583000000003
1954,8,65.6,22.5,132.106332814575,0.5118099440856018,-1.66421976702161,Arapaho,-66.50633281457502,0.6982362466195784,-1.6186009960569212,28.732249999999993,13.889583
1954,9,40.41,18,88.4868023602756,-0.19616416758978023,-1.208435593573072,Arapaho,-48.07680236027561,-0.06728329200862572,-1.3042554003178908,3.5422499999999957,9.389583
1954,10,18.12,8.7,34.78279527080722,-0.11136683284683815,-1.2531718569062664,Arapaho,-16.66279527080722,0.27963325883782925,-1.2331432406294254,-18.74775,0.0895829999999993
1954,11,4.76,5,15.657074756111678,-1.5382452407091758,-1.5404156501665012,Arapaho,-10.897074756111678,-1.668261131515616,-1.481595064052128,-32.10775,-3.610417
1954,12,6.22,-0.5,0,-0.08756001816765616,-1.5922132511355538,Arapaho,6.22,-0.3076510318905012,-1.4835569128466808,-30.647750000000002,-9.110417
1955,1,12.08,-5.2,0,0.8115766628883831,-1.4061680281403712,Arapaho,12.08,0.8102840369865062,-1.4656821865810732,-24.787750000000003,-13.810417000000001
1955,2,18.07,-6,0,1.1157307310407059,-1.0187984514941162,Arapaho,18.07,0.9732743967950979,-1.0781231380576062,-18.79775,-14.610417
1955,3,7.75,0.8,2.333145480127295,-0.5208725941563659,-1.3628308330531156,Arapaho,5.416854519872706,-0.555572370525617,-1.4048866371081923,-29.11775,-7.810417
1955,4,26.83,10.3,49.3471050142206,-1.2325327856630268,-1.303893003889167,Arapaho,-22.517105014220604,-1.155225888232024,-1.264640323659405,-10.037750000000003,1.6895830000000007
1955,5,134.9,15.2,87.60331487878409,1.239570035072792,-0.731557022340111,Arapaho,47.296685121215916,1.1097693940129505,-0.7689436494746066,98.03225,6.589582999999999
1955,6,79.28,16.8,99.69673737940111,0.6190466422810745,-0.45392976541682867,Arapaho,-20.416737379401113,0.7102822348122863,-0.5491142077509407,42.41225,8.189583
1955,7,35.9,24.4,156.21912700091016,-1.3959210663263724,-0.4257343384418833,Arapaho,-120.31912700091016,-1.3800859303484179,-0.4708033725412172,-0.9677500000000023,15.789582999999999
1955,8,35.43,23.8,141.00517452012858,-1.0779854396058859,-0.8595581007464012,Arapaho,-105.57517452012857,-1.0679184498151866,-0.9350707123826194,-1.4377500000000012,15.189583
1955,9,49.07,17.2,83.93907375021591,0.26832649069616626,-0.6397197972168648,Arapaho,-34.86907375021591,0.3718263313219444,-0.6960051658019935,12.20225,8.589583
1955,10,9.28,10.7,44.22403885001308,-1.2318416418583502,-0.8491554890987063,Arapaho,-34.94403885001308,-1.1576492578499746,-0.85200286232566,-27.58775,2.0895829999999993
1955,11,17.47,-1.3,0,0.9014608542840596,-0.5133398449377485,Arapaho,17.47,0.8862262462331906,-0.5378079556266006,-19.397750000000002,-9.910417
1955,12,10.22,-4.2,0,0.5638713021108357,-0.4809072625114446,Arapaho,10.22,0.4328699817269458,-0.49697854693859006,-26.647750000000002,-12.810417000000001
1956,1,8.38,-3.6,0,0.2095492980490397,-0.524600208162235,Arapaho,8.38,0.2231231112354605,-0.5853793963431375,-28.48775,-12.210417
1956,2,6.16,-3.8,0,-0.12440391285752028,-0.6656335928031035,Arapaho,6.16,-0.1775925221919742,-0.7154633721051156,-30.70775,-12.410416999999999
1956,3,5.15,3,10.817934131939317,-1.2702741119279557,-0.8029007835571468,Arapaho,-5.667934131939317,-1.2632513570928912,-0.8328628691293724,-31.717750000000002,-5.610417
1956,4,32.08,5.6,24.32866064053248,-0.005576834257792472,-0.4835518619415532,Arapaho,7.751339359467519,0.10289433758182412,-0.49363073361246373,-4.787750000000003,-3.0104170000000003
1956,5,51.18,15.3,88.27254668959972,-1.0724471735298462,-1.484243450722418,Arapaho,-37.09254668959972,-1.1839397822668998,-1.459788924482468,14.312249999999999,6.689583000000001
1956,6,67.81,22,136.33239016938523,-0.7525598291991014,-1.875088646249358,Arapaho,-68.52239016938523,-0.7042008280234475,-1.771051504304896,30.94225,13.389583
1956,7,73.23,21.9,137.80040698142668,0.2984923904389511,-1.3037295835434906,Arapaho,-64.57040698142667,0.3232960165533314,-1.2911273722229126,36.36225,13.289582999999999
1956,8,61.22,21.3,123.96489814950147,0.638721526147999,-0.8946979289722947,Arapaho,-62.744898149501466,0.8240763187899904,-0.9676562140210283,24.352249999999998,12.689583
1956,9,2.47,17.1,83.37296046068928,-1.5603075371993447,-1.3590427927298057,Arapaho,-80.90296046068929,-1.5653558047009235,-1.4581967097729143,-34.39775,8.489583000000001
1956,10,10.16,12,50.518653653708704,-1.6042215578244206,-1.4903308183968054,Arapaho,-40.3586536537087,-1.706832399753896,-1.446726415351858,-26.70775,3.389583
1956,11,33.03,1.1,2.7011407195163564,1.562489191897524,-1.3056010738988382,Arapaho,30.328859280483645,1.4948058724691209,-1.2805619522784004,-3.8377499999999998,-7.510417
1956,12,6.18,0.7,1.544161088737003,-0.4172828662710204,-1.3946507934748198,Arapaho,4.635838911262997,-0.6645924456462141,-1.3216928657223426,-30.68775,-7.910417
1957,1,3.94,-8.2,0,-0.6721014102358419,-1.40955171208563,Arapaho,3.94,-0.652645097864146,-1.4689979888303524,-32.92775,-16.810417
1957,2,1.53,0.8,1.8754070948318227,-1.1277079608323015,-1.479519315672092,Arapaho,-0.34540709483182264,-1.0517912849534163,-1.5483354505323355,-35.33775,-7.810417
1957,3,22.53,1.3,4.098751219052678,0.32061725667423524,-1.2185349368858942,Arapaho,18.43124878094732,0.24326149077367926,-1.2573100777069577,-14.33775,-7.310417
